"ward_no","gender","age","ethnicity","mother_tongue","religion","education","economically_active","marital_status","disability_type","health_status","disease_name"
"ward_10","male","12","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","आधारभूत तह","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","56","पहाडी जनजाती","नेपाली","हिन्दू","लेखपद गर्न नसक्ने (निरक्षर)","yes","विधुर/विधवा","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","34","पहाडी जनजाती","नेपाली","हिन्दू",,"No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","33","पहाडी आदिवासी","नेपाली","हिन्दू",,"No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","10","पहाडी जनजाती","नेपाली","हिन्दू","पूर्व प्राथमिक","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","14","पहाडी जनजाती","नेपाली","हिन्दू","आधारभूत तह","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","59","पहाडी आदिवासी","नेवारी","हिन्दू","लेखपद गर्न नसक्ने (निरक्षर)","yes","विधुर/विधवा","अपाङ्गता नभएको","सामान्य रोगी","11. Hypertension"
"ward_3","male","33","पहाडी आदिवासी","नेवारी","हिन्दू","प्राविधिक एलएलसी","yes","वहुविवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","33","पहाडी आदिवासी","नेवारी","हिन्दू","माध्यमिक तह","yes","वहुविवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","31","पहाडी आदिवासी","नेपाली","हिन्दू","साधारण लेखपढ (साक्षर)","No","अबिबाहित","शारीरिक अपाङ्गता","स्वस्थ",
"ward_3","male","8","पहाडी आदिवासी","नेवारी","हिन्दू","पूर्व प्राथमिक","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","73","पहाडी आदिवासी","नेवारी","हिन्दू","साधारण लेखपढ (साक्षर)","No","वहुविवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","69","पहाडी आदिवासी","नेवारी","हिन्दू","लेखपद गर्न नसक्ने (निरक्षर)","yes","एकल विवाह","अपाङ्गता नभएको","सामान्य रोगी","2. Coronary Heart Disease"
"ward_3","male","40","पहाडी आदिवासी","नेवारी","हिन्दू","प्राविधिक एलएलसी","yes","वहुविवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","19","पहाडी आदिवासी","नेवारी","हिन्दू","माध्यमिक तह","yes","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","15","पहाडी आदिवासी","नेवारी","हिन्दू","आधारभूत तह","yes","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","72","पहाडी आदिवासी","नेपाली","हिन्दू",,"No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_2","female","60","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू",,"No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","40","पहाडी आदिवासी","नेपाली","हिन्दू","स्नातकोतर तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","37","पहाडी आदिवासी","नेपाली","हिन्दू","स्नातकोतर तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","8","पहाडी आदिवासी","नेपाली","हिन्दू","आधारभूत तह","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","53","पहाडी आदिवासी","नेपाली","हिन्दू","साधारण लेखपढ (साक्षर)","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","57","पहाडी आदिवासी","नेपाली","हिन्दू","लेखपद गर्न नसक्ने (निरक्षर)","No","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","35","पहाडी आदिवासी","नेपाली","हिन्दू","स्नातक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","28","पहाडी आदिवासी","नेपाली","हिन्दू","प्राविधिक एलएलसी","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","6","पहाडी आदिवासी","नेपाली","हिन्दू",,"No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","1","पहाडी आदिवासी","नेपाली","हिन्दू",,"No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","42","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","आधारभूत तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","38","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","आधारभूत तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","17","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","माध्यमिक तह","yes","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","16","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","माध्यमिक तह","yes","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","12","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","आधारभूत तह","yes","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","61","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","साधारण लेखपढ (साक्षर)","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","54","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","साधारण लेखपढ (साक्षर)","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","35","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","32","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","32","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","32","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातकोतर तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
